account_id,notification_date_time,delivery_method,notification_type
123260,2019-12-02 5:54:26,PAPER,PAPER_CYCLE_3(0002)
123260,2019-12-30 5:52:42,PAPER,PAPER_CYCLE_4(0900)
123261,2019-10-06 13:37:34,TEXT,INITIAL_BILL
123261,2019-10-07 13:45:06,TEXT,INITIAL_BILL
123261,2019-10-15 14:48:32,TEXT,BILL_REMINDER
123261,2019-10-22 13:45:38,TEXT,BILL_REMINDER
123261,2019-11-04 14:45:49,TEXT,BILL_REMINDER
123261,2019-11-12 14:45:22,TEXT,PAST_DUE_BILL_REMINDER
123261,2019-11-18 14:45:20,TEXT,PAST_DUE_BILL_REMINDER
123261,2019-11-25 14:46:54,EMAIL,PAST_DUE_BILL_REMINDER
123261,2019-11-25 14:46:55,TEXT,PAST_DUE_BILL_REMINDER
123261,2019-12-02 5:54:26,PAPER,PAPER_CYCLE_3(0002)
123261,2019-12-02 14:45:12,EMAIL,PAST_DUE_BILL_REMINDER
123261,2019-12-02 14:45:13,TEXT,PAST_DUE_BILL_REMINDER
123261,2019-12-30 5:52:42,PAPER,PAPER_CYCLE_4(0900)
123261,2019-12-30 14:45:24,EMAIL,PAST_DUE_BILL_REMINDER
123261,2019-12-30 14:45:25,TEXT,PAST_DUE_BILL_REMINDER
123262,2019-11-26 22:49:51,PAPER,PAPER_CYCLE_4(0900)
123262,2019-12-02 5:53:39,PAPER,PAPER_CYCLE_5(0900)
123262,2019-12-30 5:51:43,PAPER,PAPER_CYCLE_6(0900)
123263,2019-10-07 13:45:06,EMAIL,BILL_REMINDER
123264,2019-10-06 13:37:33,EMAIL,INITIAL_BILL
123264,2019-10-07 13:45:04,EMAIL,INITIAL_BILL
123264,2019-10-15 14:51:09,EMAIL,BILL_REMINDER
123264,2019-10-22 13:45:37,EMAIL,BILL_REMINDER
123264,2019-11-04 14:45:48,EMAIL,BILL_REMINDER
123264,2019-11-08 14:45:08,EMAIL,RESEND_REMINDER
123264,2019-11-08 14:45:09,TEXT,RESEND_REMINDER
123264,2019-11-08 14:45:09,TEXT,RESEND_INITIAL_BILL
123264,2019-11-12 14:45:19,EMAIL,PAST_DUE_BILL_REMINDER
123264,2019-11-12 14:45:20,TEXT,PAST_DUE_BILL_REMINDER
123264,2019-11-18 14:45:25,EMAIL,PAST_DUE_BILL_REMINDER
123264,2019-11-18 14:45:26,TEXT,PAST_DUE_BILL_REMINDER
123264,2019-11-25 14:45:10,EMAIL,PAST_DUE_BILL_REMINDER
123264,2019-11-25 14:45:11,TEXT,PAST_DUE_BILL_REMINDER
123264,2019-12-02 5:54:26,PAPER,PAPER_CYCLE_3(0002)
